,Campaign_ID,Company,Campaign_Type,Duration (days),Channel_Used,Conversion_Rate,Accquisition_Cost ($),ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Sex,Age_Group
0,1,Innovate Industries,Email,30,Google Ads,0.04,16174.0,6.29,Chicago,Spanish,506,1922,6,Health & Wellness,2021-01-01,Men,18-24
1,2,NexGen Systems,Email,60,Google Ads,0.12,11566.0,5.61,New York,German,116,7523,7,Fashionistas,2021-01-02,Women,35-44
2,3,Alpha Innovations,Influencer,30,YouTube,0.07,10200.0,7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,2021-01-03,Men,25-34
3,4,DataTech Solutions,Display,60,YouTube,0.11,12724.0,5.55,Miami,Mandarin,217,1820,7,Health & Wellness,2021-01-04,Both,All Ages
4,5,NexGen Systems,Email,15,YouTube,0.05,16452.0,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,2021-01-05,Men,25-34
5,6,DataTech Solutions,Display,15,Instagram,0.07,9716.0,4.36,New York,German,100,1643,1,Foodies,2021-01-06,Both,All Ages
6,7,NexGen Systems,Email,60,Website,0.13,11067.0,2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,2021-01-07,Women,35-44
7,8,DataTech Solutions,Search,45,Google Ads,0.08,13280.0,5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,2021-01-08,Men,18-24
8,9,Alpha Innovations,Social Media,15,Facebook,0.09,18066.0,6.73,Chicago,German,861,1754,6,Tech Enthusiasts,2021-01-09,Women,35-44
9,10,TechCorp,Email,15,Instagram,0.09,13766.0,3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,2021-01-10,Women,35-44
10,11,NexGen Systems,Display,45,Email,0.12,8590.0,3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,2021-01-11,Men,25-34
11,12,Innovate Industries,Influencer,60,Google Ads,0.05,17502.0,3.59,Los Angeles,Mandarin,659,8948,1,Foodies,2021-01-12,Men,25-34
12,13,TechCorp,Social Media,60,Facebook,0.09,17189.0,4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13,Men,25-34
13,14,TechCorp,Email,45,Instagram,0.14,9975.0,7.06,New York,German,994,2201,4,Health & Wellness,2021-01-14,Men,25-34
14,15,TechCorp,Display,45,Website,0.04,11346.0,5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,2021-01-15,Both,All Ages
15,16,Innovate Industries,Social Media,60,YouTube,0.11,9407.0,2.91,New York,German,299,1512,5,Health & Wellness,2021-01-16,Women,35-44
16,17,Innovate Industries,Display,45,Website,0.08,5478.0,4.53,Houston,English,931,2488,3,Fashionistas,2021-01-17,Women,35-44
17,18,Alpha Innovations,Influencer,15,Instagram,0.14,9485.0,4.48,Miami,French,218,9264,9,Health & Wellness,2021-01-18,Men,18-24
18,19,Alpha Innovations,Social Media,60,Google Ads,0.07,19224.0,6.08,New York,French,182,5798,1,Foodies,2021-01-19,Men,25-34
19,20,DataTech Solutions,Influencer,15,Google Ads,0.09,10258.0,3.83,Miami,French,193,3677,1,Tech Enthusiasts,2021-01-20,Men,25-34
